32.7063, -117.2360833, San Diego
12.6, -99.75, Floats
11.54644444, -87.58601667, NIN1
11.72493333, -87.39833333, NIM1
11.85555, -87.2704, NIS1
9.444883333, -85.76336667, CRN1
8.60775, -83.1138, Golfito
9.59, -85, Wave Glider Pickup
11.86513333, -87.28013333, Wave Glider Deployment
11.85706667, -87.26935, Multibeam_0
11.72218333, -87.40205, Multibeam_1
11.53873333, -87.60138333, Multibeam_2
11.52441667, -87.5874, Multibeam_3
11.72016667, -87.39993333, Multibeam_4
11.85641667, -87.26821667, Multibeam_5
11.85773333, -87.2696, Multibeam_6
11.72318333, -87.4031, Multibeam_7
11.54245, -87.61201667, Multibeam_8
11.52813333, -87.59801667, Multibeam_9
11.72118333, -87.40098333, Multibeam_10
11.85663333, -87.2689, Multibeam_11
